,party_rk,class
532,89410,27.0
533,8108,30.0
534,61946,51.0
535,37432,31.0
536,48813,28.0
537,42677,31.0
538,81686,82.0
539,50751,47.0
540,29110,29.0
541,27897,29.0
542,55308,3.0
543,60607,7.0
544,19838,12.0
545,42396,29.0
546,72775,5.0
547,89582,32.0
548,10074,85.0
549,13163,31.0
550,30216,27.0
551,33429,29.0
552,20563,100.0
553,60893,13.0
554,68876,29.0
555,30156,87.0
556,86029,31.0
557,6822,
558,31822,28.0
559,8550,7.0
560,67519,46.0
561,14138,85.0
562,19904,27.0
563,43170,51.0
564,62922,12.0
565,66467,
566,5808,82.0
567,29490,67.0
568,83891,9.0
569,91611,33.0
570,22820,35.0
571,56054,7.0
572,13365,
573,23204,32.0
574,26215,28.0
575,43291,25.0
576,65673,14.0
577,53621,47.0
578,79898,16.0
579,82779,32.0
580,52813,27.0
581,72408,9.0
582,28470,29.0
583,38537,75.0
584,37191,24.0
585,50973,27.0
586,56318,67.0
587,71587,5.0
588,36013,27.0
589,70632,35.0
590,87454,26.0
591,3813,31.0
592,30594,9.0
593,79145,8.0
594,21963,68.0
595,40822,29.0
596,67164,12.0
597,56165,33.0
598,16087,25.0
599,87558,28.0
600,73679,7.0
601,6185,16.0
602,35174,27.0
603,56721,11.0
604,76877,36.0
605,57860,12.0
606,72396,7.0
607,76372,11.0
608,84028,
609,42446,27.0
610,93905,86.0
611,12287,9.0
612,36837,33.0
613,77737,9.0
614,90338,16.0
615,34589,30.0
616,38009,16.0
617,6395,100.0
618,27597,85.0
619,45019,9.0
620,15666,8.0
621,70314,13.0
622,28748,18.0
623,33772,32.0
624,47639,25.0
625,54608,66.0
626,80694,7.0
627,91834,3.0
628,8362,85.0
629,21830,97.0
630,23705,27.0
631,76367,28.0
632,25709,29.0
633,87900,10.0
634,5122,5.0
635,14499,28.0
636,50844,23.0
637,80716,3.0
638,85083,30.0
639,94475,105.0
640,11959,127.0
641,85422,25.0
642,93668,10.0
643,35963,10.0
644,57082,51.0
645,41728,32.0
646,89058,29.0
647,3816,85.0
648,15680,100.0
649,90923,69.0
650,27893,85.0
651,19437,89.0
652,38202,12.0
653,1211,85.0
654,4171,
655,22194,
656,41677,29.0
657,55314,27.0
658,67939,12.0
659,72640,31.0
660,21656,100.0
661,79858,63.0
662,57852,31.0
663,74090,42.0
664,62529,28.0
665,88330,8.0
666,12477,
667,93554,27.0
668,10335,31.0
669,15016,70.0
670,36772,27.0
671,68680,
672,85776,68.0
673,5683,127.0
674,61013,7.0
675,64477,14.0
676,69770,27.0
677,25693,85.0
678,33809,67.0
679,48949,19.0
680,80421,29.0
681,84242,10.0
682,56181,16.0
683,12374,11.0
684,37767,48.0
685,44124,35.0
686,55058,13.0
687,47062,33.0
688,57655,25.0
689,83915,32.0
690,92479,7.0
691,40244,14.0
692,53927,27.0
693,92146,7.0
694,34029,7.0
695,42104,29.0
696,87642,12.0
697,10662,100.0
698,27490,85.0
699,73958,5.0
700,35299,32.0
701,47441,3.0
702,64401,16.0
703,14319,104.0
704,20810,13.0
705,40323,5.0
706,2651,29.0
707,49361,27.0
708,72441,101.0
709,4761,27.0
710,79862,28.0
711,4589,31.0
712,9137,13.0
713,1947,64.0
714,48069,14.0
715,61306,29.0
716,8933,7.0
717,59062,5.0
718,77397,16.0
719,89959,27.0
720,9767,100.0
721,25044,
722,90656,5.0
723,19748,28.0
724,50103,104.0
725,73022,31.0
726,58004,8.0
727,84593,66.0
728,59691,10.0
729,78902,68.0
730,38923,5.0
731,41988,28.0
732,76181,100.0
733,80645,32.0
734,4978,52.0
735,68837,7.0
736,75930,46.0
737,65889,33.0
738,19030,66.0
739,33690,32.0
740,40364,25.0
741,67478,
742,2741,30.0
743,19052,27.0
744,33984,10.0
745,9582,127.0
746,81805,28.0
747,35660,29.0
748,74781,27.0
749,84926,29.0
750,94534,3.0
751,22386,33.0
752,73744,11.0
753,81645,33.0
754,3324,8.0
755,48659,16.0
756,20523,100.0
757,43663,15.0
758,13281,11.0
759,41590,32.0
760,46881,31.0
761,26833,89.0
762,52852,29.0
763,89599,32.0
764,31092,29.0
765,49162,12.0
766,66011,87.0
767,90116,28.0
768,22159,29.0
769,87222,68.0
770,40002,17.0
771,50807,23.0
772,83542,31.0
773,87434,75.0
774,70619,31.0
775,53856,13.0
776,69976,7.0
777,52722,27.0
778,58639,29.0
779,76633,28.0
780,90506,32.0
781,39035,33.0
782,74626,9.0
783,7379,49.0
784,85191,28.0
785,47622,116.0
786,79030,27.0
787,30739,71.0
788,71126,46.0
789,33010,15.0
790,41215,27.0
791,53729,64.0
792,17360,85.0
793,34770,6.0
794,85384,27.0
795,49923,5.0
796,66009,9.0
797,82635,23.0
798,2110,35.0
799,42106,35.0
800,75957,8.0
801,93637,29.0
802,22118,15.0
803,20630,85.0
804,51765,67.0
805,76710,31.0
806,17394,7.0
807,73202,5.0
808,13649,32.0
809,29993,32.0
810,2568,85.0
811,15655,16.0
812,37669,5.0
813,78118,16.0
814,81658,31.0
815,7047,9.0
816,16197,100.0
817,29115,20.0
818,46979,25.0
819,69431,14.0
820,79823,27.0
821,9266,13.0
822,39167,35.0
823,63527,8.0
824,80951,28.0
825,6550,27.0
826,25421,27.0
827,61587,11.0
828,65286,
829,85945,8.0
830,14373,33.0
831,34158,28.0
832,38299,11.0
833,55013,4.0
834,61224,27.0
835,70874,8.0
836,86701,51.0
837,4634,100.0
838,27902,32.0
839,32646,4.0
840,56566,70.0
841,62169,27.0
842,29569,32.0
843,46031,32.0
844,22174,116.0
845,23962,86.0
846,41165,
847,18038,101.0
848,49043,29.0
849,54045,11.0
850,56800,32.0
851,89681,46.0
852,24918,9.0
853,81354,12.0
854,89462,27.0
855,36863,25.0
856,76479,29.0
857,80269,32.0
858,86596,33.0
859,93359,14.0
860,90886,8.0
861,18329,12.0
862,22939,87.0
863,93489,85.0
864,10480,
865,50285,11.0
866,68745,10.0
867,3935,85.0
868,38226,33.0
869,4562,106.0
870,31077,31.0
871,84774,29.0
872,5396,14.0
873,20179,85.0
874,13880,100.0
875,51587,27.0
876,83383,25.0
877,2173,
878,15825,104.0
879,5542,100.0
880,60476,3.0
881,34917,14.0
882,45458,
883,55983,32.0
884,82885,85.0
885,23965,15.0
886,38541,31.0
887,86647,12.0
888,2823,33.0
889,5952,17.0
890,8903,29.0
891,77579,7.0
892,84404,4.0
893,10691,8.0
894,54565,5.0
895,58298,102.0
896,170,31.0
897,29573,33.0
898,92771,66.0
899,15796,12.0
900,54201,25.0
901,57651,85.0
902,64271,32.0
903,85116,35.0
904,23423,89.0
905,17598,85.0
906,67740,33.0
907,75766,10.0
908,2669,
909,12219,104.0
910,25649,87.0
911,89913,36.0
912,27240,27.0
913,38949,29.0
914,65233,12.0
915,3580,25.0
916,41040,32.0
917,47964,29.0
918,81274,28.0
919,10810,32.0
920,60443,12.0
921,8114,13.0
922,34888,29.0
923,46906,32.0
924,20071,71.0
925,21596,12.0
926,83644,5.0
927,1941,50.0
928,47391,9.0
929,54723,33.0
930,59158,12.0
931,73836,36.0
932,42925,14.0
933,81217,8.0
934,19075,31.0
935,76829,27.0
936,87353,36.0
937,89925,100.0
938,1951,11.0
939,8929,85.0
940,12505,
941,16471,48.0
942,64539,27.0
943,10842,
944,18162,84.0
945,33462,27.0
946,55787,28.0
947,78566,29.0
948,70760,15.0
949,79556,9.0
950,33875,28.0
951,84000,5.0
952,92659,29.0
953,46498,20.0
954,52761,33.0
955,8136,
956,55969,16.0
957,68793,31.0
958,62177,7.0
959,7008,
960,13381,101.0
961,41401,104.0
962,78342,100.0
963,89549,28.0
964,1558,90.0
965,32987,17.0
966,93766,9.0
967,50221,104.0
968,69515,85.0
969,81296,16.0
970,45746,32.0
971,29155,77.0
972,68827,38.0
973,76164,33.0
974,27252,29.0
975,34696,9.0
976,43782,9.0
977,50694,7.0
978,54254,29.0
979,65684,33.0
980,84482,28.0
981,7264,13.0
982,15113,100.0
983,33542,25.0
984,39484,29.0
985,85647,7.0
986,38506,28.0
987,44947,32.0
988,82821,71.0
989,36903,13.0
990,77554,4.0
991,8248,27.0
992,20893,35.0
993,57038,11.0
994,47662,28.0
995,64303,27.0
996,58708,29.0
997,12266,85.0
998,34657,8.0
999,94110,7.0
1000,24704,12.0
1001,40360,33.0
1002,29603,29.0
1003,50360,9.0
1004,72666,
1005,79493,11.0
1006,94271,29.0
1007,9246,
1008,12174,34.0
1009,45254,33.0
1010,51543,29.0
1011,249,90.0
1012,6874,27.0
1013,45243,11.0
1014,73452,9.0
1015,28296,27.0
1016,79109,12.0
1017,90867,41.0
1018,42296,31.0
1019,17871,82.0
1020,20820,100.0
1021,24640,100.0
1022,34349,5.0
1023,72133,30.0
1024,57008,29.0
1025,71822,5.0
1026,83471,27.0
1027,93646,21.0
1028,16668,70.0
1029,19863,29.0
1030,22281,27.0
1031,3427,85.0
1032,42846,29.0
1033,89982,32.0
1034,77793,73.0
1035,91791,7.0
1036,5624,72.0
1037,15332,85.0
1038,36262,21.0
1039,61496,29.0
1040,85900,36.0
1041,6778,100.0
1042,66701,5.0
1043,66374,29.0
1044,72734,8.0
1045,90966,32.0
1046,5895,124.0
1047,40284,97.0
1048,2356,87.0
1049,21034,16.0
1050,19814,51.0
1051,35612,27.0
1052,48979,33.0
1053,55901,16.0
1054,60960,25.0
1055,90227,11.0
1056,56322,82.0
1057,65625,32.0
1058,26381,12.0
1059,57362,29.0
1060,75426,11.0
1061,40729,13.0
1062,60363,13.0
1063,63598,25.0
1064,42650,10.0
1065,73696,11.0
1066,71768,29.0
1067,49103,26.0
1068,90739,7.0
1069,25669,19.0
1070,52564,29.0
1071,71665,27.0
1072,75529,27.0
1073,7286,
1074,44518,32.0
1075,36899,31.0
1076,56187,85.0
1077,64702,100.0
1078,77193,68.0
1079,6198,89.0
1080,36702,31.0
1081,40305,12.0
1082,45684,28.0
1083,80342,33.0
1084,21453,7.0
1085,25599,29.0
1086,76342,25.0
1087,24972,27.0
1088,34143,71.0
1089,55002,35.0
1090,59538,10.0
1091,66592,3.0
1092,88609,27.0
1093,32019,9.0
1094,71648,23.0
1095,61103,30.0
1096,87444,32.0
1097,16830,9.0
1098,27677,87.0
1099,30907,27.0
1100,44938,31.0
1101,50653,10.0
1102,20078,3.0
1103,37375,29.0
1104,49957,9.0
1105,1837,85.0
1106,36615,9.0
1107,53495,29.0
1108,2259,104.0
1109,11821,85.0
1110,35793,13.0
1111,15195,12.0
1112,23755,34.0
1113,14585,27.0
1114,27369,104.0
1115,17882,52.0
1116,28945,100.0
1117,21923,25.0
1118,76846,28.0
1119,10978,125.0
1120,52584,46.0
1121,90635,28.0
1122,24130,28.0
1123,77401,29.0
1124,38447,9.0
1125,33732,33.0
1126,52819,100.0
1127,71388,13.0
1128,87370,12.0
1129,83294,27.0
1130,1219,100.0
1131,4923,85.0
1132,53992,
1133,65327,27.0
1134,10681,9.0
1135,366,29.0
1136,37648,100.0
1137,49741,18.0
1138,55613,67.0
1139,80778,24.0
1140,16203,27.0
1141,25793,27.0
1142,34893,28.0
1143,42210,11.0
1144,57204,24.0
1145,79137,27.0
1146,85896,29.0
1147,37540,13.0
1148,55990,32.0
1149,15482,31.0
1150,29214,85.0
1151,54875,32.0
1152,38148,25.0
1153,56540,31.0
1154,78414,29.0
1155,23258,100.0
1156,33198,5.0
1157,57232,24.0
1158,72958,8.0
1159,76903,40.0
1160,85537,7.0
1161,1412,100.0
1162,4469,100.0
1163,51671,7.0
1164,9466,102.0
1165,15400,7.0
1166,61572,5.0
1167,2513,31.0
1168,12961,100.0
1169,30787,30.0
1170,72425,27.0
1171,7049,100.0
1172,45889,33.0
1173,31156,37.0
1174,43072,24.0
1175,4371,
1176,28034,11.0
1177,48035,11.0
1178,69880,32.0
1179,2443,
1180,12078,94.0
1181,40932,48.0
1182,63965,23.0
1183,78886,35.0
1184,6650,100.0
1185,18502,7.0
1186,24555,11.0
1187,19481,33.0
1188,38225,6.0
1189,85441,5.0
1190,1464,104.0
1191,6446,25.0
1192,20600,29.0
1193,58269,
1194,4626,48.0
1195,11210,
1196,44663,85.0
1197,13037,100.0
1198,34135,30.0
1199,54186,11.0
1200,11127,
1201,46338,25.0
1202,56845,9.0
1203,26847,27.0
1204,63038,9.0
1205,76330,5.0
1206,32485,25.0
1207,40304,66.0
1208,83977,27.0
1209,12321,35.0
1210,15441,7.0
1211,79383,12.0
1212,62496,27.0
1213,879,
1214,23179,13.0
1215,91228,7.0
1216,13035,31.0
1217,17118,29.0
1218,82524,13.0
1219,79488,51.0
1220,2289,104.0
1221,6093,
1222,58147,12.0
1223,93224,27.0
1224,13171,106.0
1225,16660,8.0
1226,20178,85.0
1227,46840,14.0
1228,22727,85.0
1229,61642,13.0
1230,79729,32.0
1231,84358,10.0
1232,12226,29.0
1233,60208,9.0
1234,39820,50.0
1235,49265,7.0
1236,50772,72.0
1237,77243,9.0
1238,29564,104.0
1239,4545,89.0
1240,10206,
1241,25341,82.0
1242,28065,29.0
1243,36329,5.0
1244,35310,9.0
1245,58252,28.0
1246,8523,
1247,12069,
1248,43253,87.0
1249,79754,8.0
1250,84510,27.0
1251,49780,9.0
1252,59730,4.0
1253,24088,8.0
1254,72223,10.0
1255,11859,104.0
1256,24083,32.0
1257,51309,29.0
1258,67054,11.0
1259,85864,7.0
1260,31826,55.0
1261,52448,25.0
1262,87756,8.0
1263,43504,9.0
1264,76680,5.0
1265,80727,12.0
1266,50451,
1267,62540,23.0
1268,71642,33.0
1269,40795,68.0
1270,39953,14.0
1271,40792,27.0
1272,44829,
1273,24497,
1274,42439,29.0
1275,57672,16.0
1276,64443,12.0
1277,74126,32.0
1278,9698,100.0
1279,68453,31.0
1280,84844,8.0
1281,7720,85.0
1282,16704,10.0
1283,71538,32.0
1284,3178,29.0
1285,52096,
1286,46049,29.0
1287,49725,29.0
1288,7772,
1289,11464,85.0
1290,40879,28.0
1291,86017,32.0
1292,90257,12.0
1293,11545,31.0
1294,23991,31.0
1295,86263,71.0
1296,28616,9.0
1297,21280,32.0
1298,30429,29.0
1299,43668,5.0
1300,69736,12.0
1301,75223,12.0
1302,470,85.0
1303,23939,9.0
1304,82111,25.0
1305,59401,27.0
1306,70549,5.0
1307,79683,101.0
1308,84992,97.0
1309,13000,9.0
1310,28617,35.0
1311,47310,16.0
1312,60721,28.0
1313,79697,24.0
1314,17926,31.0
1315,49847,74.0
1316,1769,
1317,18942,50.0
1318,65925,31.0
1319,1496,30.0
1320,9010,13.0
1321,24768,85.0
1322,40701,29.0
1323,27128,100.0
1324,6329,86.0
1325,50711,36.0
1326,76131,29.0
1327,49345,30.0
1328,2238,55.0
1329,43211,33.0
1330,55109,32.0
1331,6734,
1332,37573,33.0
1333,40209,31.0
1334,58282,33.0
1335,90900,12.0
1336,14264,14.0
1337,50889,28.0
1338,3986,54.0
1339,41779,11.0
1340,49708,31.0
1341,55075,8.0
1342,67546,85.0
1343,71735,29.0
1344,11753,11.0
1345,25256,100.0
1346,40115,50.0
1347,59653,29.0
1348,52625,3.0
1349,63702,27.0
1350,1347,100.0
1351,86992,55.0
1352,87199,36.0
1353,94244,46.0
1354,46540,12.0
1355,50340,32.0
1356,64361,72.0
1357,76153,25.0
1358,43415,13.0
1359,72214,25.0
1360,21498,8.0
1361,21442,35.0
1362,32466,36.0
1363,62435,14.0
1364,15579,38.0
1365,30203,14.0
1366,38440,29.0
1367,41184,27.0
1368,68272,
1369,84499,33.0
1370,12047,12.0
1371,70059,27.0
1372,2553,108.0
1373,20378,5.0
1374,68951,13.0
1375,86265,12.0
1376,92327,9.0
1377,23649,71.0
1378,48155,29.0
1379,35063,5.0
1380,39005,29.0
1381,52192,7.0
1382,67693,29.0
1383,15929,86.0
1384,24739,12.0
1385,27380,32.0
1386,36802,33.0
1387,43965,29.0
1388,68702,17.0
1389,23941,8.0
1390,26885,100.0
1391,56708,27.0
1392,60590,
1393,21470,
1394,87200,27.0
1395,76887,12.0
1396,38907,31.0
1397,1731,104.0
1398,29873,10.0
1399,41768,31.0
1400,63929,9.0
1401,83994,27.0
1402,60698,7.0
1403,68917,27.0
1404,26343,55.0
1405,46506,33.0
1406,61252,10.0
1407,78385,7.0
1408,81548,8.0
1409,23840,108.0
1410,29000,12.0
1411,37844,7.0
1412,289,93.0
1413,12021,9.0
1414,33219,33.0
1415,26665,13.0
1416,37404,31.0
1417,87861,7.0
1418,6748,9.0
1419,28329,27.0
1420,84561,23.0
1421,23601,11.0
1422,55802,7.0
1423,67394,11.0
1424,75110,14.0
1425,24198,36.0
1426,76623,25.0
1427,26876,39.0
1428,546,90.0
1429,5337,
1430,33217,31.0
1431,44557,32.0
1432,73052,3.0
1433,9812,
1434,35573,11.0
1435,43706,4.0
1436,55499,33.0
1437,13349,31.0
1438,77505,36.0
1439,82623,25.0
1440,18138,39.0
1441,68752,72.0
1442,7080,75.0
1443,32495,13.0
1444,39383,20.0
1445,42380,32.0
1446,68861,5.0
1447,33806,25.0
1448,50004,9.0
1449,10201,9.0
1450,23193,33.0
1451,61177,27.0
1452,85287,12.0
1453,13028,51.0
1454,54692,9.0
1455,58847,51.0
1456,13616,31.0
1457,211,100.0
1458,3795,102.0
1459,15661,51.0
1460,38759,104.0
1461,41436,29.0
1462,3122,31.0
1463,10614,10.0
1464,86018,30.0
1465,62160,67.0
1466,1907,104.0
1467,16893,33.0
1468,28130,36.0
1469,61767,29.0
1470,79110,7.0
1471,10402,
1472,19539,29.0
1473,35386,68.0
1474,22300,86.0
1475,30901,5.0
1476,70452,9.0
1477,8272,
1478,40840,46.0
1479,81188,8.0
1480,36072,12.0
1481,45911,13.0
1482,58938,32.0
1483,69123,33.0
1484,77632,14.0
1485,44140,25.0
1486,52832,28.0
1487,67062,10.0
1488,24181,32.0
1489,45074,8.0
1490,83836,29.0
1491,93109,25.0
1492,11317,
1493,18458,13.0
1494,44259,10.0
1495,92073,9.0
1496,3743,14.0
1497,35824,28.0
1498,58326,9.0
1499,88332,7.0
1500,70077,42.0
1501,63184,25.0
1502,77709,4.0
1503,11449,
1504,28778,7.0
1505,4132,
1506,68307,33.0
1507,59182,70.0
1508,71308,7.0
1509,92691,24.0
1510,56772,66.0
1511,65344,10.0
1512,83111,9.0
1513,14934,11.0
1514,19943,27.0
1515,39915,29.0
1516,94359,29.0
1517,41712,29.0
1518,62157,25.0
1519,93220,29.0
1520,8832,
1521,56078,12.0
1522,70551,6.0
